[INFO]2023-02-12 03:52:56 | Connecting to the Camera...
[INFO]2023-02-12 05:11:43 | [LIGHT] Start exposure (exptime = 10.0)
[INFO]2023-02-12 05:13:16 | [LIGHT] Start exposure (exptime = 3.0)
[INFO]2023-02-12 05:13:19 | [LIGHT] Exposure finished (exptime = 3.0)
[INFO]2023-02-12 05:13:26 | Connecting to the Camera...
[INFO]2023-02-12 05:13:26 | Camera connected
[INFO]2023-02-12 05:13:26 | Start cooling...
[INFO]2023-02-12 05:13:26 | Cooling finished. Set temperature : 0.0
[INFO]2023-02-12 05:13:30 | [LIGHT] Start exposure (exptime = 3.0)
[INFO]2023-02-12 05:14:28 | Connecting to the Camera...
[INFO]2023-02-12 05:14:28 | Camera connected
[INFO]2023-02-12 05:14:28 | Start cooling...
[INFO]2023-02-12 05:14:28 | Cooling finished. Set temperature : 0.0
[INFO]2023-02-12 05:16:27 | Connecting to the Camera...
[INFO]2023-02-12 05:16:27 | Camera connected
[INFO]2023-02-12 05:16:27 | Start cooling...
[INFO]2023-02-12 05:16:27 | Cooling finished. Set temperature : 0.0
[INFO]2023-02-12 05:16:35 | [LIGHT] Start exposure (exptime = 3.0)
[INFO]2023-02-12 05:16:38 | [LIGHT] Exposure finished (exptime = 3.0)
[INFO]2023-02-12 05:19:49 | Connecting to the Camera...
[INFO]2023-02-12 05:19:49 | Camera connected
[INFO]2023-02-12 05:19:49 | Start cooling...
[INFO]2023-02-12 05:19:49 | Cooling finished. Set temperature : 0.0
[INFO]2023-02-12 05:19:55 | [LIGHT] Start exposure (exptime = 3.0)
[INFO]2023-02-12 05:21:42 | Connecting to the Camera...
[INFO]2023-02-12 05:21:42 | Camera connected
[INFO]2023-02-12 05:21:42 | Start cooling...
[INFO]2023-02-12 05:21:42 | Cooling finished. Set temperature : 0.0
[INFO]2023-02-12 05:22:29 | Connecting to the Camera...
[INFO]2023-02-12 05:22:29 | Camera connected
[INFO]2023-02-12 05:22:29 | Start cooling...
[INFO]2023-02-12 05:22:29 | Cooling finished. Set temperature : 0.0
[INFO]2023-02-12 05:23:55 | [LIGHT] Start exposure (exptime = 2.0)
[INFO]2023-02-12 05:28:38 | [LIGHT] Start exposure (exptime = 1.0)
[INFO]2023-02-12 05:29:48 | Connecting to the Camera...
[INFO]2023-02-12 05:29:48 | Camera connected
[INFO]2023-02-12 05:29:48 | Start cooling...
[INFO]2023-02-12 05:29:48 | Cooling finished. Set temperature : 0.0
[INFO]2023-02-12 05:29:53 | [LIGHT] Start exposure (exptime = 3.0)
[INFO]2023-02-12 05:32:45 | Connecting to the Camera...
[INFO]2023-02-12 05:32:45 | Camera connected
[INFO]2023-02-12 05:32:45 | Start cooling...
[INFO]2023-02-12 05:32:45 | Cooling finished. Set temperature : 0.0
[INFO]2023-02-12 05:32:52 | [LIGHT] Start exposure (exptime = 3.0)
[INFO]2023-02-12 05:33:11 | Connecting to the Camera...
[INFO]2023-02-12 05:33:11 | Camera connected
[INFO]2023-02-12 05:33:11 | Start cooling...
[INFO]2023-02-12 05:33:11 | Cooling finished. Set temperature : 0.0
[INFO]2023-02-12 05:33:52 | Connecting to the Camera...
[INFO]2023-02-12 05:33:52 | Camera connected
[INFO]2023-02-12 05:33:52 | Start cooling...
[INFO]2023-02-12 05:33:52 | Current temperature : 0.0
[INFO]2023-02-12 05:33:55 | Current temperature : 2.4
[INFO]2023-02-12 05:33:58 | Current temperature : 3.6
[INFO]2023-02-12 05:34:01 | Cooling finished. Set temperature : 5.0
[INFO]2023-02-12 05:34:35 | [LIGHT] Start exposure (exptime = 3.0)
[INFO]2023-02-12 05:36:14 | Connecting to the Camera...
[INFO]2023-02-12 05:36:14 | Camera connected
[INFO]2023-02-12 05:36:14 | Start cooling...
[INFO]2023-02-12 05:36:14 | Cooling finished. Set temperature : 5.0
[INFO]2023-02-12 05:36:19 | [LIGHT] Start exposure (exptime = 3.0)
[INFO]2023-02-12 05:37:43 | Connecting to the Camera...
[INFO]2023-02-12 05:37:43 | Camera connected
[INFO]2023-02-12 05:37:43 | Start cooling...
[INFO]2023-02-12 05:37:43 | Cooling finished. Set temperature : 5.0
[INFO]2023-02-12 05:37:47 | [LIGHT] Start exposure (exptime = 3.0)
[INFO]2023-02-12 05:37:58 | [LIGHT] Start exposure (exptime = 10.0)
[INFO]2023-02-12 05:46:04 | Connecting to the Camera...
[INFO]2023-02-12 05:46:04 | Camera connected
[INFO]2023-02-12 05:46:04 | Start cooling...
[INFO]2023-02-12 05:46:04 | Cooling finished. Set temperature : 5.0
[INFO]2023-02-12 05:46:09 | [LIGHT] Start exposure (exptime = 3.0)
[INFO]2023-02-12 05:46:12 | [LIGHT] Exposure finished (exptime = 3.0)
[INFO]2023-02-12 05:46:54 | Connecting to the Camera...
[INFO]2023-02-12 05:46:54 | Camera connected
[INFO]2023-02-12 05:46:54 | Start cooling...
[INFO]2023-02-12 05:46:54 | Cooling finished. Set temperature : 5.0
[INFO]2023-02-12 05:47:05 | [LIGHT] Start exposure (exptime = 3.0)
[INFO]2023-02-12 05:47:08 | [LIGHT] Exposure finished (exptime = 3.0)
[INFO]2023-02-12 05:47:35 | Connecting to the Camera...
[INFO]2023-02-12 05:47:35 | Camera connected
[INFO]2023-02-12 05:47:35 | Start cooling...
[INFO]2023-02-12 05:47:35 | Cooling finished. Set temperature : 5.0
[INFO]2023-02-12 05:47:46 | [LIGHT] Start exposure (exptime = 2.0)
[INFO]2023-02-12 05:47:48 | [LIGHT] Exposure finished (exptime = 2.0)
[INFO]2023-02-12 05:49:37 | Connecting to the Camera...
[INFO]2023-02-12 05:49:37 | Camera connected
[INFO]2023-02-12 05:49:37 | Start cooling...
[INFO]2023-02-12 05:49:37 | Cooling finished. Set temperature : 5.0
[INFO]2023-02-12 05:49:45 | Connecting to the Camera...
[INFO]2023-02-12 05:49:45 | Camera connected
[INFO]2023-02-12 05:49:45 | Start cooling...
[INFO]2023-02-12 05:49:45 | Cooling finished. Set temperature : 5.0
[INFO]2023-02-12 05:49:59 | Connecting to the Camera...
[INFO]2023-02-12 05:49:59 | Camera connected
[INFO]2023-02-12 05:49:59 | Start cooling...
[INFO]2023-02-12 05:49:59 | Cooling finished. Set temperature : 5.0
[INFO]2023-02-12 05:49:59 | [LIGHT] Start exposure (exptime = 3.0)
[INFO]2023-02-12 05:50:03 | [LIGHT] Exposure finished (exptime = 3.0)
[INFO]2023-02-12 05:50:58 | Connecting to the Camera...
[INFO]2023-02-12 05:50:58 | Camera connected
[INFO]2023-02-12 05:50:58 | Start cooling...
[INFO]2023-02-12 05:50:58 | Cooling finished. Set temperature : 5.0
[INFO]2023-02-12 05:50:58 | [LIGHT] Start exposure (exptime = 3.0)
[INFO]2023-02-12 05:51:01 | [LIGHT] Exposure finished (exptime = 3.0)
[INFO]2023-02-12 05:51:01 | [DARK] Start exposure (exptime = 3.0)
[INFO]2023-02-12 05:51:05 | [DARK] Exposure finished (exptime = 3.0)
[INFO]2023-02-12 05:51:05 | [BIAS] Start exposure for bias
[INFO]2023-02-12 05:51:05 | [BIAS] Exposure finished
[INFO]2023-02-12 05:51:05 | Warming up...
[INFO]2023-02-12 05:51:05 | Current temperature : 5.0
[INFO]2023-02-12 05:51:10 | Current temperature : 8.2
[INFO]2023-02-12 05:51:15 | Cooler is now off
[INFO]2023-02-12 05:51:15 | Disconnecting to the Camera...
[INFO]2023-02-12 05:51:15 | Camera disconnected
[INFO]2023-02-12 16:26:49 | Connecting to the Focuser...
[INFO]2023-02-12 16:26:49 | Focuser connected
[CRITICAL]2023-02-12 16:36:27 | Set position is too distant from current position. Halt action. (Moving position : 20000 > halt tolerance : 10000)
[INFO]2023-02-12 16:36:53 | Moving focuser position... (Current : 25000 To : 21000)
[INFO]2023-02-12 16:39:03 | Moving focuser position... (Current : 21000 To : 21000)
[INFO]2023-02-12 16:39:03 | Focuser position is set (Current : 21000)
[INFO]2023-02-12 16:39:10 | Moving focuser position... (Current : 21000 To : 18000)
[INFO]2023-02-12 16:39:10 | Focuser position is set (Current : 21000)
[INFO]2023-02-12 16:39:28 | Moving focuser position... (Current : 18000 To : 18000)
[INFO]2023-02-12 16:39:28 | Focuser position is set (Current : 18000)
[INFO]2023-02-12 16:39:40 | Moving focuser position... (Current : 18000 To : 18000)
[INFO]2023-02-12 16:39:41 | Focuser position is set (Current : 18000)
[INFO]2023-02-12 16:39:44 | Moving focuser position... (Current : 18000 To : 21000)
[INFO]2023-02-12 16:39:49 | Focuser position is set (Current : 21000)
[INFO]2023-02-12 16:41:41 | Moving focuser position... (Current : 21000 To : 21000)
[INFO]2023-02-12 16:41:42 | Focuser position is set (Current : 21000)
[INFO]2023-02-12 16:41:48 | Moving focuser position... (Current : 21000 To : 19000)
[INFO]2023-02-12 16:41:51 | Focuser position is set (Current : 19000)
[INFO]2023-02-12 17:46:12 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 17:55:32 | Connecting to the Camera...
[INFO]2023-02-12 17:55:32 | Camera connected
[INFO]2023-02-12 18:00:27 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:01:52 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:01:57 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:02:04 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:02:35 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:02:35 | Connecting to the telescope...
[INFO]2023-02-12 18:02:35 | Telescope connected
[INFO]2023-02-12 18:02:35 | Connecting to the Camera...
[INFO]2023-02-12 18:02:35 | Camera connected
[INFO]2023-02-12 18:02:35 | Connecting to the Filterwheel...
[INFO]2023-02-12 18:02:35 | Filterwheel connected
[INFO]2023-02-12 18:02:38 | Start checking status
[INFO]2023-02-12 18:07:58 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:08:00 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:08:00 | Connecting to the telescope...
[INFO]2023-02-12 18:08:00 | Telescope connected
[INFO]2023-02-12 18:08:00 | Connecting to the Camera...
[INFO]2023-02-12 18:08:00 | Camera connected
[INFO]2023-02-12 18:08:00 | Connecting to the Filterwheel...
[INFO]2023-02-12 18:08:00 | Filterwheel connected
[INFO]2023-02-12 18:08:03 | Start checking status
[INFO]2023-02-12 18:08:03 | [Connected] Telescope
[INFO]2023-02-12 18:08:03 | [Connected] Camera
[INFO]2023-02-12 18:08:03 | [Connected] Focuser
[INFO]2023-02-12 18:09:07 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:09:08 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:09:08 | Connecting to the telescope...
[INFO]2023-02-12 18:09:08 | Telescope connected
[INFO]2023-02-12 18:09:08 | Connecting to the Camera...
[INFO]2023-02-12 18:09:08 | Camera connected
[INFO]2023-02-12 18:09:08 | Connecting to the Filterwheel...
[INFO]2023-02-12 18:09:08 | Filterwheel connected
[INFO]2023-02-12 18:09:11 | Start checking status
[INFO]2023-02-12 18:09:11 | [Connected] Telescope
[INFO]2023-02-12 18:09:11 | [Connected] Camera
[INFO]2023-02-12 18:09:11 | [Connected] Focuser
[INFO]2023-02-12 18:09:11 | [Connected] FilterWheel
[INFO]2023-02-12 18:09:11 | [Connected] Observer (Localtime : 2023-02-12 06:09:11.737739-03:00)
[INFO]2023-02-12 18:09:11 | Checking connection finished
[INFO]2023-02-12 18:12:38 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:12:39 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:12:39 | Connecting to the telescope...
[INFO]2023-02-12 18:12:39 | Telescope connected
[INFO]2023-02-12 18:12:39 | Connecting to the Camera...
[INFO]2023-02-12 18:12:39 | Camera connected
[INFO]2023-02-12 18:12:39 | Connecting to the Filterwheel...
[INFO]2023-02-12 18:12:39 | Filterwheel connected
[INFO]2023-02-12 18:12:42 | Start checking status
[INFO]2023-02-12 18:12:42 | [Connected] Telescope
[INFO]2023-02-12 18:12:42 | [Connected] Camera
[INFO]2023-02-12 18:12:42 | [Connected] Focuser
[INFO]2023-02-12 18:12:42 | [Connected] FilterWheel
[INFO]2023-02-12 18:12:42 | [Connected] Observer (Localtime : 2023-02-12 06:12:42.308720-03:00)
[INFO]2023-02-12 18:12:42 | Checking connection finished
[INFO]2023-02-12 18:15:45 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:15:52 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:22:37 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:23:43 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:24:01 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:25:28 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:25:28 | Connecting to the telescope...
[INFO]2023-02-12 18:25:28 | Telescope connected
[INFO]2023-02-12 18:26:16 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:26:17 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:26:17 | Connecting to the telescope...
[INFO]2023-02-12 18:26:18 | Telescope connected
[INFO]2023-02-12 18:26:18 | Connecting to the Camera...
[INFO]2023-02-12 18:26:18 | Camera connected
[INFO]2023-02-12 18:26:18 | Connecting to the Filterwheel...
[INFO]2023-02-12 18:26:18 | Filterwheel connected
[INFO]2023-02-12 18:26:21 | Start checking status
[INFO]2023-02-12 18:26:21 | [Connected] Telescope
[INFO]2023-02-12 18:26:21 | [Connected] Camera
[INFO]2023-02-12 18:26:21 | [Connected] Focuser
[INFO]2023-02-12 18:26:21 | [Connected] FilterWheel
[INFO]2023-02-12 18:26:21 | [Connected] Observer (Localtime : 2023-02-12 06:26:21.158308-03:00)
[INFO]2023-02-12 18:26:21 | Checking connection finished
[INFO]2023-02-12 18:27:20 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:27:21 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:27:21 | Connecting to the telescope...
[INFO]2023-02-12 18:27:21 | Telescope connected
[INFO]2023-02-12 18:27:21 | Connecting to the Camera...
[INFO]2023-02-12 18:27:21 | Camera connected
[INFO]2023-02-12 18:27:21 | Connecting to the Filterwheel...
[INFO]2023-02-12 18:27:21 | Filterwheel connected
[INFO]2023-02-12 18:27:24 | Start checking status
[INFO]2023-02-12 18:27:24 | [Connected] Telescope
[INFO]2023-02-12 18:27:24 | [Connected] Camera
[INFO]2023-02-12 18:27:24 | [Connected] Focuser
[INFO]2023-02-12 18:27:24 | [Connected] FilterWheel
[INFO]2023-02-12 18:27:24 | [Connected] Observer (Localtime : 2023-02-12 06:27:24.660830-03:00)
[INFO]2023-02-12 18:27:24 | Checking connection finished
[INFO]2023-02-12 18:33:50 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:33:50 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:33:50 | Connecting to the telescope...
[INFO]2023-02-12 18:33:50 | Telescope connected
[INFO]2023-02-12 18:33:50 | Connecting to the Camera...
[INFO]2023-02-12 18:33:50 | Camera connected
[INFO]2023-02-12 18:33:50 | Connecting to the Filterwheel...
[INFO]2023-02-12 18:33:50 | Filterwheel connected
[INFO]2023-02-12 18:33:53 | Start checking status
[INFO]2023-02-12 18:33:53 | [Connected] Telescope
[INFO]2023-02-12 18:33:53 | [Connected] Camera
[INFO]2023-02-12 18:33:53 | [Connected] Focuser
[INFO]2023-02-12 18:33:53 | [Connected] FilterWheel
[INFO]2023-02-12 18:33:53 | [Connected] Observer (Localtime : 2023-02-12 06:33:53.853346-03:00)
[INFO]2023-02-12 18:33:53 | Checking connection finished
[INFO]2023-02-12 18:39:31 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:39:53 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:40:27 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:41:27 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:41:59 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:42:29 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:43:15 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:43:16 | Observer information setting compleated!
==================
   Observer = Hyeonho Choi
   Observatory = 7DT_01
   Latitude = -30.4725 deg
   Longitude = 289.2369 deg
   Elevation = 1525.0 m
   Timezone = America/Santiago
==================
[INFO]2023-02-12 18:43:16 | Connecting to the telescope...
[INFO]2023-02-12 18:43:16 | Telescope connected
[INFO]2023-02-12 18:43:16 | Connecting to the Camera...
[INFO]2023-02-12 18:43:16 | Camera connected
[INFO]2023-02-12 18:43:16 | Connecting to the Filterwheel...
[INFO]2023-02-12 18:43:16 | Filterwheel connected
[INFO]2023-02-12 18:43:19 | Start checking status
[INFO]2023-02-12 18:43:19 | [Connected] Telescope
[INFO]2023-02-12 18:43:19 | [Connected] Camera
[INFO]2023-02-12 18:43:19 | [Connected] Focuser
[INFO]2023-02-12 18:43:19 | [Connected] FilterWheel
[INFO]2023-02-12 18:43:19 | [Connected] Observer (Localtime : 2023-02-12 06:43:19.360111-03:00)
[INFO]2023-02-12 18:43:19 | Checking connection finished
[INFO]2023-02-12 18:43:20 | Slewing to the coordinate (RA = 15.591, Dec = -50.659, Alt = 66.1, Az = 152.8)
[INFO]2023-02-12 18:43:20 | Unparking telescope...
[INFO]2023-02-12 18:43:20 | Telescope Unparked
[INFO]2023-02-12 18:43:25 | Slewing finished. Current coordinate (RA = 15.591, Dec = -50.659, Alt = 66.3, Az = 153.2)
[INFO]2023-02-12 18:43:25 | Changing filter... (Current : w400 To : g)
[WARNING]2023-02-12 18:43:25 | g is not implemented in the filterwheel
[INFO]2023-02-12 18:45:00 | Slewing to the coordinate (RA = 15.591, Dec = -50.659, Alt = 66.3, Az = 153.3)
[INFO]2023-02-12 18:45:00 | Slewing finished. Current coordinate (RA = 15.591, Dec = -50.659, Alt = 66.5, Az = 153.7)
[INFO]2023-02-12 18:45:00 | Changing filter... (Current : w400 To : 425)
[WARNING]2023-02-12 18:45:00 | 425 is not implemented in the filterwheel
[INFO]2023-02-12 18:45:18 | Slewing to the coordinate (RA = 15.591, Dec = -50.659, Alt = 66.3, Az = 153.4)
[INFO]2023-02-12 18:45:18 | Slewing finished. Current coordinate (RA = 15.591, Dec = -50.659, Alt = 66.5, Az = 153.8)
[WARNING]2023-02-12 18:45:18 | 425 is out of range of the filterwheel
[INFO]2023-02-12 18:45:18 | Changing filter... (Current : w400 To : None)
[INFO]2023-02-12 18:45:24 | Slewing to the coordinate (RA = 15.591, Dec = -50.659, Alt = 66.3, Az = 153.4)
